iter	RMSE
0	52294.94772
1	49499.61532
2	47268.41775
3	44965.43641
4	42530.40163
5	40295.58288
6	38275.05742
7	36389.90622
8	34549.03168
9	33209.27031
10	31788.24899
11	30531.27176
12	29485.06995
13	28282.71789
14	27246.29929
15	26253.62481
16	25254.1206
17	24488.50007
18	23688.09692
19	23037.36011
20	22407.62278
21	21707.12611
22	21242.58764
23	20770.73584
24	20289.11235
25	19809.47148
26	19561.20758
27	19336.98973
28	19005.79049
29	18587.06678
30	18205.84694
31	17979.85193
32	17753.31089
33	17532.07575
34	17396.88853
35	17300.08438
36	17163.12033
37	16906.57516
38	16695.45567
39	16461.99748
40	16290.6981
41	16161.89557
42	15921.93317
43	15772.68438
44	15738.41139
45	15551.10268
46	15356.07979
47	15168.09103
48	15025.44945
49	14947.24508
50	14838.64874
51	14653.70719
52	14523.22014
53	14397.62352
54	14372.46636
55	14255.56484
56	14183.91448
57	14045.05617
58	13988.39561
59	13896.80006
60	13786.75976
61	13666.65795
62	13557.44762
63	13465.95925
64	13378.26201
65	13294.89306
66	13187.22231
67	13133.37602
68	13036.10668
69	12945.74767
70	12898.98164
71	12809.82924
72	12768.61253
73	12738.09944
74	12665.61824
75	12635.62676
76	12559.03444
77	12528.57796
78	12433.51115
79	12323.58986
80	12244.23096
81	12199.14713
82	12179.18052
83	12151.13704
84	12056.51108
85	11997.4941
86	11906.98282
87	11879.64506
88	11867.0027
89	11818.92723
90	11738.6515
91	11658.4529
92	11626.91758
93	11602.02546
94	11569.03875
95	11537.74911
96	11454.42307
97	11387.38048
98	11352.74023
99	11266.74712
