iter	Passed	Remaining
0	25	2547
1	51	2508
2	76	2478
3	104	2501
4	127	2424
5	155	2443
6	181	2406
7	207	2388
8	236	2388
9	263	2367
10	292	2365
11	321	2357
12	355	2378
13	389	2390
14	414	2351
15	441	2319
16	471	2299
17	499	2277
18	529	2258
19	556	2225
20	588	2214
21	618	2191
22	646	2164
23	672	2129
24	700	2102
25	727	2069
26	756	2044
27	788	2027
28	816	1999
29	844	1970
30	870	1937
31	901	1915
32	928	1884
33	958	1861
34	984	1828
35	1011	1797
36	1041	1772
37	1070	1745
38	1097	1716
39	1124	1686
40	1151	1656
41	1182	1632
42	1212	1607
43	1240	1579
44	1270	1552
45	1297	1522
46	1326	1496
47	1359	1472
48	1384	1441
49	1414	1414
50	1441	1384
51	1469	1356
52	1497	1327
53	1524	1299
54	1550	1268
55	1577	1239
56	1613	1217
57	1641	1188
58	1669	1160
59	1696	1130
60	1721	1100
61	1748	1071
62	1780	1045
63	1809	1017
64	1835	988
65	1864	960
66	1890	931
67	1916	901
68	1947	874
69	1975	846
70	2001	817
71	2037	792
72	2065	763
73	2093	735
74	2121	707
75	2148	678
76	2175	649
77	2201	620
78	2231	593
79	2260	565
80	2287	536
81	2316	508
82	2348	480
83	2374	452
84	2402	423
85	2439	397
86	2468	368
87	2502	341
88	2528	312
89	2554	283
90	2581	255
91	2616	227
92	2645	199
93	2669	170
94	2698	142
95	2728	113
96	2754	85
97	2781	56
98	2805	28
99	2834	0
